id,value,lichen
Nostocaceae_uncl_Otu00002,0.00322163,Cladonia
Nostocaceae_uncl_Otu00002,0.943136724,Cora
Nostocaceae_uncl_Otu00002,0.051136603,Hypotrachyna
Nostocaceae_uncl_Otu00002,0.000156565,Peltigera
Nostocaceae_uncl_Otu00002,0.00031313,Stereocaulon
Nostocaceae_uncl_Otu00002,0.001848674,Sticta
Nostocaceae_uncl_Otu00002,0.000186674,Usnea
Cyanobacteria_uncl_Otu00003,0.000283808,Cladonia
Cyanobacteria_uncl_Otu00003,7.67E-05,Cora
Cyanobacteria_uncl_Otu00003,0.382357904,Hypotrachyna
Cyanobacteria_uncl_Otu00003,9.20E-05,Peltigera
Cyanobacteria_uncl_Otu00003,0.000237785,Stereocaulon
Cyanobacteria_uncl_Otu00003,0.000621309,Sticta
Cyanobacteria_uncl_Otu00003,0.616330444,Usnea
Nostoc_uncl_Otu00004,0.000143658,Cladonia
Nostoc_uncl_Otu00004,0.000439423,Cora
Nostoc_uncl_Otu00004,0.009287036,Hypotrachyna
Nostoc_uncl_Otu00004,0.742455868,Peltigera
Nostoc_uncl_Otu00004,0.005399833,Stereocaulon
Nostoc_uncl_Otu00004,0.185495661,Sticta
Nostoc_uncl_Otu00004,0.056778522,Usnea
Cyanobacteria_uncl_Otu00005,0.748013238,Cladonia
Cyanobacteria_uncl_Otu00005,0.000135077,Cora
Cyanobacteria_uncl_Otu00005,9.01E-05,Hypotrachyna
Cyanobacteria_uncl_Otu00005,3.38E-05,Peltigera
Cyanobacteria_uncl_Otu00005,0.251356402,Stereocaulon
Cyanobacteria_uncl_Otu00005,0.000112564,Sticta
Cyanobacteria_uncl_Otu00005,0.000258898,Usnea
Nostoc_uncl_96__Otu00007,0.000341991,Cladonia
Nostoc_uncl_96__Otu00007,0.002924027,Cora
Nostoc_uncl_96__Otu00007,0.002188745,Hypotrachyna
Nostoc_uncl_96__Otu00007,0.008669482,Peltigera
Nostoc_uncl_96__Otu00007,0.047434209,Stereocaulon
Nostoc_uncl_96__Otu00007,0.938031155,Sticta
Nostoc_uncl_96__Otu00007,0.00041039,Usnea
Rhizobiales_uncl_96__Otu00008,0.030364165,Cladonia
Rhizobiales_uncl_96__Otu00008,0.038707471,Cora
Rhizobiales_uncl_96__Otu00008,0.312155924,Hypotrachyna
Rhizobiales_uncl_96__Otu00008,0.010907847,Peltigera
Rhizobiales_uncl_96__Otu00008,0.134040007,Stereocaulon
Rhizobiales_uncl_96__Otu00008,0.416276287,Sticta
Rhizobiales_uncl_96__Otu00008,0.057548299,Usnea
Caulobacteraceae_uncl_98__Otu00011,0.386433755,Cladonia
Caulobacteraceae_uncl_98__Otu00011,0.003432842,Cora
Caulobacteraceae_uncl_98__Otu00011,0.198539956,Hypotrachyna
Caulobacteraceae_uncl_98__Otu00011,0.002172685,Peltigera
Caulobacteraceae_uncl_98__Otu00011,0.178638161,Stereocaulon
Caulobacteraceae_uncl_98__Otu00011,0.086038326,Sticta
Caulobacteraceae_uncl_98__Otu00011,0.144744275,Usnea
Sphingomonas_uncl_59__Otu00013,0.001970095,Cladonia
Sphingomonas_uncl_59__Otu00013,0.553798747,Cora
Sphingomonas_uncl_59__Otu00013,0.035360679,Hypotrachyna
Sphingomonas_uncl_59__Otu00013,0.165437462,Peltigera
Sphingomonas_uncl_59__Otu00013,0.053091534,Stereocaulon
Sphingomonas_uncl_59__Otu00013,0.185744595,Sticta
Sphingomonas_uncl_59__Otu00013,0.004596888,Usnea
Acetobacteraceae_uncl_Otu00015,0.119986851,Cladonia
Acetobacteraceae_uncl_Otu00015,0.00887574,Cora
Acetobacteraceae_uncl_Otu00015,0.05480417,Hypotrachyna
Acetobacteraceae_uncl_Otu00015,9.39E-05,Peltigera
Acetobacteraceae_uncl_Otu00015,0.073072227,Stereocaulon
Acetobacteraceae_uncl_Otu00015,0.008734855,Sticta
Acetobacteraceae_uncl_Otu00015,0.734432234,Usnea
Acidobacteriaceae_uncl_Otu00017,0.157179351,Cladonia
Acidobacteriaceae_uncl_Otu00017,0.021545284,Cora
Acidobacteriaceae_uncl_Otu00017,0.310743722,Hypotrachyna
Acidobacteriaceae_uncl_Otu00017,0.002072589,Peltigera
Acidobacteriaceae_uncl_Otu00017,0.066467441,Stereocaulon
Acidobacteriaceae_uncl_Otu00017,0.075046995,Sticta
Acidobacteriaceae_uncl_Otu00017,0.366944618,Usnea
Nostocaceae_uncl_Otu00020,0.01793278,Cladonia
Nostocaceae_uncl_Otu00020,0.002805435,Cora
Nostocaceae_uncl_Otu00020,0.047472358,Hypotrachyna
Nostocaceae_uncl_Otu00020,0.000605094,Peltigera
Nostocaceae_uncl_Otu00020,0.922327961,Stereocaulon
Nostocaceae_uncl_Otu00020,0.008856373,Sticta
Nostocaceae_uncl_Otu00020,0,Usnea
Others_uncl_Otu00021,0.087531747,Cladonia
Others_uncl_Otu00021,0.034020436,Cora
Others_uncl_Otu00021,0.288405883,Hypotrachyna
Others_uncl_Otu00021,0.001299392,Peltigera
Others_uncl_Otu00021,0.23377237,Stereocaulon
Others_uncl_Otu00021,0.299096332,Sticta
Others_uncl_Otu00021,0.055873841,Usnea
Mucilaginibacter_jinjuensis_97__Otu00022,0.001820922,Cladonia
Mucilaginibacter_jinjuensis_97__Otu00022,0.959186236,Cora
Mucilaginibacter_jinjuensis_97__Otu00022,0.000251162,Hypotrachyna
Mucilaginibacter_jinjuensis_97__Otu00022,0.02473942,Peltigera
Mucilaginibacter_jinjuensis_97__Otu00022,0.000125581,Stereocaulon
Mucilaginibacter_jinjuensis_97__Otu00022,0.013499937,Sticta
Mucilaginibacter_jinjuensis_97__Otu00022,0.000376742,Usnea
Acidobacteriaceae_uncl_Otu00024,0.12344052,Cladonia
Acidobacteriaceae_uncl_Otu00024,0.066069232,Cora
Acidobacteriaceae_uncl_Otu00024,0.216570023,Hypotrachyna
Acidobacteriaceae_uncl_Otu00024,0.024951678,Peltigera
Acidobacteriaceae_uncl_Otu00024,0.344842734,Stereocaulon
Acidobacteriaceae_uncl_Otu00024,0.19803198,Sticta
Acidobacteriaceae_uncl_Otu00024,0.026093832,Usnea
Acetobacteraceae_uncl_Otu00025,0.412006458,Cladonia
Acetobacteraceae_uncl_Otu00025,0.02553941,Cora
Acetobacteraceae_uncl_Otu00025,0.30309702,Hypotrachyna
Acetobacteraceae_uncl_Otu00025,0.003155732,Peltigera
Acetobacteraceae_uncl_Otu00025,0.154557464,Stereocaulon
Acetobacteraceae_uncl_Otu00025,0.06920593,Sticta
Acetobacteraceae_uncl_Otu00025,0.032437986,Usnea
Rhizobiales_uncl_97__Otu00026,0.006371651,Cladonia
Rhizobiales_uncl_97__Otu00026,0.135201187,Cora
Rhizobiales_uncl_97__Otu00026,0.247010561,Hypotrachyna
Rhizobiales_uncl_97__Otu00026,0.026184865,Peltigera
Rhizobiales_uncl_97__Otu00026,0.281836432,Stereocaulon
Rhizobiales_uncl_97__Otu00026,0.277908702,Sticta
Rhizobiales_uncl_97__Otu00026,0.025486602,Usnea
Acetobacteraceae_uncl_Otu00027,0.119808307,Cladonia
Acetobacteraceae_uncl_Otu00027,0.001597444,Cora
Acetobacteraceae_uncl_Otu00027,0.19931187,Hypotrachyna
Acetobacteraceae_uncl_Otu00027,0.000737282,Peltigera
Acetobacteraceae_uncl_Otu00027,0.249447039,Stereocaulon
Acetobacteraceae_uncl_Otu00027,0.004177931,Sticta
Acetobacteraceae_uncl_Otu00027,0.424920128,Usnea
Cyanobacteria_uncl_Otu00028,0.016198431,Cladonia
Cyanobacteria_uncl_Otu00028,0.0002531,Cora
Cyanobacteria_uncl_Otu00028,0,Hypotrachyna
Cyanobacteria_uncl_Otu00028,0,Peltigera
Cyanobacteria_uncl_Otu00028,0.983126635,Stereocaulon
Cyanobacteria_uncl_Otu00028,0,Sticta
Cyanobacteria_uncl_Otu00028,0.000421834,Usnea
Verrucomicrobia_uncl_Otu00031,0.029657272,Cladonia
Verrucomicrobia_uncl_Otu00031,0.100461554,Cora
Verrucomicrobia_uncl_Otu00031,0.269370519,Hypotrachyna
Verrucomicrobia_uncl_Otu00031,0.011293332,Peltigera
Verrucomicrobia_uncl_Otu00031,0.149366591,Stereocaulon
Verrucomicrobia_uncl_Otu00031,0.409800648,Sticta
Verrucomicrobia_uncl_Otu00031,0.030050083,Usnea
Acetobacteraceae_uncl_Otu00032,0.442738509,Cladonia
Acetobacteraceae_uncl_Otu00032,0.023174971,Cora
Acetobacteraceae_uncl_Otu00032,0.184916956,Hypotrachyna
Acetobacteraceae_uncl_Otu00032,0.002607184,Peltigera
Acetobacteraceae_uncl_Otu00032,0.180475087,Stereocaulon
Acetobacteraceae_uncl_Otu00032,0.112784859,Sticta
Acetobacteraceae_uncl_Otu00032,0.053302433,Usnea
Caulobacteraceae_uncl_Otu00033,0.009217057,Cladonia
Caulobacteraceae_uncl_Otu00033,0.501367366,Cora
Caulobacteraceae_uncl_Otu00033,0.063202674,Hypotrachyna
Caulobacteraceae_uncl_Otu00033,0.073331308,Peltigera
Caulobacteraceae_uncl_Otu00033,0.128127216,Stereocaulon
Caulobacteraceae_uncl_Otu00033,0.082750937,Sticta
Caulobacteraceae_uncl_Otu00033,0.142003444,Usnea
Bradyrhizobiaceae_uncl_84__Otu00034,0.135615914,Cladonia
Bradyrhizobiaceae_uncl_84__Otu00034,0.138102525,Cora
Bradyrhizobiaceae_uncl_84__Otu00034,0.089326702,Hypotrachyna
Bradyrhizobiaceae_uncl_84__Otu00034,0.254686305,Peltigera
Bradyrhizobiaceae_uncl_84__Otu00034,0.096977812,Stereocaulon
Bradyrhizobiaceae_uncl_84__Otu00034,0.248756695,Sticta
Bradyrhizobiaceae_uncl_84__Otu00034,0.036534047,Usnea
Cyanobacteria_uncl_Otu00036,0.01011416,Cladonia
Cyanobacteria_uncl_Otu00036,0.014320048,Cora
Cyanobacteria_uncl_Otu00036,0.078810334,Hypotrachyna
Cyanobacteria_uncl_Otu00036,0.001502103,Peltigera
Cyanobacteria_uncl_Otu00036,0.001502103,Stereocaulon
Cyanobacteria_uncl_Otu00036,0.008211496,Sticta
Cyanobacteria_uncl_Otu00036,0.885539756,Usnea
Acetobacteraceae_uncl_Otu00037,0.014065085,Cladonia
Acetobacteraceae_uncl_Otu00037,0.218422504,Cora
Acetobacteraceae_uncl_Otu00037,0.078461114,Hypotrachyna
Acetobacteraceae_uncl_Otu00037,0.050882515,Peltigera
Acetobacteraceae_uncl_Otu00037,0.158714837,Stereocaulon
Acetobacteraceae_uncl_Otu00037,0.318394926,Sticta
Acetobacteraceae_uncl_Otu00037,0.161059018,Usnea
Methylacidiphilales_uncl_Otu00038,0.039182283,Cladonia
Methylacidiphilales_uncl_Otu00038,0.147572402,Cora
Methylacidiphilales_uncl_Otu00038,0.531516184,Hypotrachyna
Methylacidiphilales_uncl_Otu00038,0.009689097,Peltigera
Methylacidiphilales_uncl_Otu00038,0.081345826,Stereocaulon
Methylacidiphilales_uncl_Otu00038,0.179620954,Sticta
Methylacidiphilales_uncl_Otu00038,0.011073254,Usnea
Acetobacteraceae_uncl_Otu00040,0.878588183,Cladonia
Acetobacteraceae_uncl_Otu00040,0.002233888,Cora
Acetobacteraceae_uncl_Otu00040,0.029822406,Hypotrachyna
Acetobacteraceae_uncl_Otu00040,0.000446778,Peltigera
Acetobacteraceae_uncl_Otu00040,0.047358427,Stereocaulon
Acetobacteraceae_uncl_Otu00040,0.017424327,Sticta
Acetobacteraceae_uncl_Otu00040,0.024125991,Usnea
Terriglobus_uncl_Otu00041,0.089561162,Cladonia
Terriglobus_uncl_Otu00041,0.30563195,Cora
Terriglobus_uncl_Otu00041,0.215353342,Hypotrachyna
Terriglobus_uncl_Otu00041,0.021523377,Peltigera
Terriglobus_uncl_Otu00041,0.114910917,Stereocaulon
Terriglobus_uncl_Otu00041,0.230180557,Sticta
Terriglobus_uncl_Otu00041,0.022838694,Usnea
Acetobacteraceae_uncl_Otu00042,0.273739048,Cladonia
Acetobacteraceae_uncl_Otu00042,0.056358039,Cora
Acetobacteraceae_uncl_Otu00042,0.278830215,Hypotrachyna
Acetobacteraceae_uncl_Otu00042,0.009708738,Peltigera
Acetobacteraceae_uncl_Otu00042,0.191806772,Stereocaulon
Acetobacteraceae_uncl_Otu00042,0.145749467,Sticta
Acetobacteraceae_uncl_Otu00042,0.04380772,Usnea
Acetobacteraceae_uncl_Otu00043,0.637615741,Cladonia
Acetobacteraceae_uncl_Otu00043,0.001157407,Cora
Acetobacteraceae_uncl_Otu00043,0.076041667,Hypotrachyna
Acetobacteraceae_uncl_Otu00043,0,Peltigera
Acetobacteraceae_uncl_Otu00043,0.017592593,Stereocaulon
Acetobacteraceae_uncl_Otu00043,0.021643519,Sticta
Acetobacteraceae_uncl_Otu00043,0.245949074,Usnea
Acidobacteriaceae_uncl_96__Otu00044,0.070357411,Cladonia
Acidobacteriaceae_uncl_96__Otu00044,0.103974006,Cora
Acidobacteriaceae_uncl_96__Otu00044,0.273056736,Hypotrachyna
Acidobacteriaceae_uncl_96__Otu00044,0.05636091,Peltigera
Acidobacteriaceae_uncl_96__Otu00044,0.021869533,Stereocaulon
Acidobacteriaceae_uncl_96__Otu00044,0.458635341,Sticta
Acidobacteriaceae_uncl_96__Otu00044,0.015746063,Usnea
Verrucomicrobia_uncl_Otu00045,0.02461156,Cladonia
Verrucomicrobia_uncl_Otu00045,0.052206339,Cora
Verrucomicrobia_uncl_Otu00045,0.554257303,Hypotrachyna
Verrucomicrobia_uncl_Otu00045,0.004847732,Peltigera
Verrucomicrobia_uncl_Otu00045,0.064263518,Stereocaulon
Verrucomicrobia_uncl_Otu00045,0.286761964,Sticta
Verrucomicrobia_uncl_Otu00045,0.013051585,Usnea
Acetobacteraceae_uncl_Otu00047,0.109882879,Cladonia
Acetobacteraceae_uncl_Otu00047,0.045137518,Cora
Acetobacteraceae_uncl_Otu00047,0.195552046,Hypotrachyna
Acetobacteraceae_uncl_Otu00047,0.071193578,Peltigera
Acetobacteraceae_uncl_Otu00047,0.061323858,Stereocaulon
Acetobacteraceae_uncl_Otu00047,0.243847875,Sticta
Acetobacteraceae_uncl_Otu00047,0.273062245,Usnea
Acidisoma_uncl_Otu00048,0.539453326,Cladonia
Acidisoma_uncl_Otu00048,0.03700361,Cora
Acidisoma_uncl_Otu00048,0.151753481,Hypotrachyna
Acidisoma_uncl_Otu00048,0.013795771,Peltigera
Acidisoma_uncl_Otu00048,0.120938628,Stereocaulon
Acidisoma_uncl_Otu00048,0.091799897,Sticta
Acidisoma_uncl_Otu00048,0.045255286,Usnea
Methylobacterium_uncl_Otu00049,0.019516729,Cladonia
Methylobacterium_uncl_Otu00049,0.443441317,Cora
Methylobacterium_uncl_Otu00049,0.209771641,Hypotrachyna
Methylobacterium_uncl_Otu00049,0.039830058,Peltigera
Methylobacterium_uncl_Otu00049,0.026022305,Stereocaulon
Methylobacterium_uncl_Otu00049,0.252257037,Sticta
Methylobacterium_uncl_Otu00049,0.009160913,Usnea
Acidobacteriaceae_uncl_Otu00052,0.123318724,Cladonia
Acidobacteriaceae_uncl_Otu00052,0.053045187,Cora
Acidobacteriaceae_uncl_Otu00052,0.339277618,Hypotrachyna
Acidobacteriaceae_uncl_Otu00052,0.043070878,Peltigera
Acidobacteriaceae_uncl_Otu00052,0.055009823,Stereocaulon
Acidobacteriaceae_uncl_Otu00052,0.276409249,Sticta
Acidobacteriaceae_uncl_Otu00052,0.10986852,Usnea
Chthoniobacterales__uncl_99__Otu00055,0.026677713,Cladonia
Chthoniobacterales__uncl_99__Otu00055,0.168351284,Cora
Chthoniobacterales__uncl_99__Otu00055,0.095443248,Hypotrachyna
Chthoniobacterales__uncl_99__Otu00055,0.009113505,Peltigera
Chthoniobacterales__uncl_99__Otu00055,0.269262635,Stereocaulon
Chthoniobacterales__uncl_99__Otu00055,0.41955261,Sticta
Chthoniobacterales__uncl_99__Otu00055,0.011599006,Usnea
Beijerinckiaceae_uncl_97__Otu00056,0.346560048,Cladonia
Beijerinckiaceae_uncl_97__Otu00056,0.000150875,Cora
Beijerinckiaceae_uncl_97__Otu00056,0.119643935,Hypotrachyna
Beijerinckiaceae_uncl_97__Otu00056,0,Peltigera
Beijerinckiaceae_uncl_97__Otu00056,0.008147254,Stereocaulon
Beijerinckiaceae_uncl_97__Otu00056,0.001207001,Sticta
Beijerinckiaceae_uncl_97__Otu00056,0.524290887,Usnea
Acidobacteriaceae_uncl_95__Otu00057,0.074663403,Cladonia
Acidobacteriaceae_uncl_95__Otu00057,0.023051816,Cora
Acidobacteriaceae_uncl_95__Otu00057,0.602611179,Hypotrachyna
Acidobacteriaceae_uncl_95__Otu00057,0.013871889,Peltigera
Acidobacteriaceae_uncl_95__Otu00057,0.10505916,Stereocaulon
Acidobacteriaceae_uncl_95__Otu00057,0.06629947,Sticta
Acidobacteriaceae_uncl_95__Otu00057,0.114443084,Usnea
Chthoniobacteraceae__uncl_66__Otu00058,0.011144722,Cladonia
Chthoniobacteraceae__uncl_66__Otu00058,0.135010349,Cora
Chthoniobacteraceae__uncl_66__Otu00058,0.333704824,Hypotrachyna
Chthoniobacteraceae__uncl_66__Otu00058,0.012577615,Peltigera
Chthoniobacteraceae__uncl_66__Otu00058,0.028180226,Stereocaulon
Chthoniobacteraceae__uncl_66__Otu00058,0.466486228,Sticta
Chthoniobacteraceae__uncl_66__Otu00058,0.012896036,Usnea
Acetobacteraceae_uncl_Otu00060,0.416191753,Cladonia
Acetobacteraceae_uncl_Otu00060,0.026818639,Cora
Acetobacteraceae_uncl_Otu00060,0.059168622,Hypotrachyna
Acetobacteraceae_uncl_Otu00060,0.001508548,Peltigera
Acetobacteraceae_uncl_Otu00060,0.406134764,Stereocaulon
Acetobacteraceae_uncl_Otu00060,0.079617834,Sticta
Acetobacteraceae_uncl_Otu00060,0.010559839,Usnea
Beijerinckia_uncl_76__Otu00062,0.444043941,Cladonia
Beijerinckia_uncl_76__Otu00062,0.021112255,Cora
Beijerinckia_uncl_76__Otu00062,0.360453141,Hypotrachyna
Beijerinckia_uncl_76__Otu00062,0.005149331,Peltigera
Beijerinckia_uncl_76__Otu00062,0.053209749,Stereocaulon
Beijerinckia_uncl_76__Otu00062,0.07174734,Sticta
Beijerinckia_uncl_76__Otu00062,0.044284243,Usnea
Chthoniobacteraceae__uncl_82__Otu00063,0.290361446,Cladonia
Chthoniobacteraceae__uncl_82__Otu00063,0.043717728,Cora
Chthoniobacteraceae__uncl_82__Otu00063,0.313080895,Hypotrachyna
Chthoniobacteraceae__uncl_82__Otu00063,0.012564544,Peltigera
Chthoniobacteraceae__uncl_82__Otu00063,0.192943201,Stereocaulon
Chthoniobacteraceae__uncl_82__Otu00063,0.050086059,Sticta
Chthoniobacteraceae__uncl_82__Otu00063,0.097246127,Usnea
Mucilaginibacter_uncl_Otu00064,0.001049685,Cladonia
Mucilaginibacter_uncl_Otu00064,0.008922323,Cora
Mucilaginibacter_uncl_Otu00064,0.928971309,Hypotrachyna
Mucilaginibacter_uncl_Otu00064,0.005248425,Peltigera
Mucilaginibacter_uncl_Otu00064,0.000174948,Stereocaulon
Mucilaginibacter_uncl_Otu00064,0.022743177,Sticta
Mucilaginibacter_uncl_Otu00064,0.032890133,Usnea
Methylocystaceae_uncl_98__Otu00065,0.082015447,Cladonia
Methylocystaceae_uncl_98__Otu00065,0.140492828,Cora
Methylocystaceae_uncl_98__Otu00065,0.221404928,Hypotrachyna
Methylocystaceae_uncl_98__Otu00065,0.118242001,Peltigera
Methylocystaceae_uncl_98__Otu00065,0.04854726,Stereocaulon
Methylocystaceae_uncl_98__Otu00065,0.250091946,Sticta
Methylocystaceae_uncl_98__Otu00065,0.13920559,Usnea
Acetobacteraceae_uncl_Otu00067,0.381319469,Cladonia
Acetobacteraceae_uncl_Otu00067,0.000717103,Cora
Acetobacteraceae_uncl_Otu00067,0.057009681,Hypotrachyna
Acetobacteraceae_uncl_Otu00067,0,Peltigera
Acetobacteraceae_uncl_Otu00067,0.043564001,Stereocaulon
Acetobacteraceae_uncl_Otu00067,0.00501972,Sticta
Acetobacteraceae_uncl_Otu00067,0.512370025,Usnea
Rhizobiales_uncl_90__Otu00068,0.027082174,Cladonia
Rhizobiales_uncl_90__Otu00068,0.386755704,Cora
Rhizobiales_uncl_90__Otu00068,0.16230755,Hypotrachyna
Rhizobiales_uncl_90__Otu00068,0.046002597,Peltigera
Rhizobiales_uncl_90__Otu00068,0.084214431,Stereocaulon
Rhizobiales_uncl_90__Otu00068,0.280467446,Sticta
Rhizobiales_uncl_90__Otu00068,0.013170098,Usnea
Oxalobacteraceae_uncl_99__Otu00069,0.001813237,Cladonia
Oxalobacteraceae_uncl_99__Otu00069,0.016681777,Cora
Oxalobacteraceae_uncl_99__Otu00069,0.323481414,Hypotrachyna
Oxalobacteraceae_uncl_99__Otu00069,0.273436083,Peltigera
Oxalobacteraceae_uncl_99__Otu00069,0,Stereocaulon
Oxalobacteraceae_uncl_99__Otu00069,0.384587489,Sticta
Oxalobacteraceae_uncl_99__Otu00069,0,Usnea
Acidocella_uncl_90__Otu00070,0.013566987,Cladonia
Acidocella_uncl_90__Otu00070,0.537968721,Cora
Acidocella_uncl_90__Otu00070,0.018843037,Hypotrachyna
Acidocella_uncl_90__Otu00070,0.008479367,Peltigera
Acidocella_uncl_90__Otu00070,0.216694931,Stereocaulon
Acidocella_uncl_90__Otu00070,0.185227059,Sticta
Acidocella_uncl_90__Otu00070,0.019219898,Usnea
Zymomonas_uncl_99__Otu00071,0.013566987,Cladonia
Zymomonas_uncl_99__Otu00071,0.537968721,Cora
Zymomonas_uncl_99__Otu00071,0.018843037,Hypotrachyna
Zymomonas_uncl_99__Otu00071,0.008479367,Peltigera
Zymomonas_uncl_99__Otu00071,0.216694931,Stereocaulon
Zymomonas_uncl_99__Otu00071,0.185227059,Sticta
Zymomonas_uncl_99__Otu00071,0.019219898,Usnea
Acetobacteraceae_uncl_Otu00072,0.540591096,Cladonia
Acetobacteraceae_uncl_Otu00072,0.021324355,Cora
Acetobacteraceae_uncl_Otu00072,0.134680135,Hypotrachyna
Acetobacteraceae_uncl_Otu00072,0.000187056,Peltigera
Acetobacteraceae_uncl_Otu00072,0.079124579,Stereocaulon
Acetobacteraceae_uncl_Otu00072,0.03030303,Sticta
Acetobacteraceae_uncl_Otu00072,0.193789749,Usnea
Acidobacteriaceae_uncl_Otu00075,0.077146412,Cladonia
Acidobacteriaceae_uncl_Otu00075,0.010369141,Cora
Acidobacteriaceae_uncl_Otu00075,0.177312319,Hypotrachyna
Acidobacteriaceae_uncl_Otu00075,0.008295313,Peltigera
Acidobacteriaceae_uncl_Otu00075,0.258399005,Stereocaulon
Acidobacteriaceae_uncl_Otu00075,0.206553297,Sticta
Acidobacteriaceae_uncl_Otu00075,0.261924513,Usnea
Rhizobiales_uncl_Otu00076,0.131212724,Cladonia
Rhizobiales_uncl_Otu00076,0.103821515,Cora
Rhizobiales_uncl_Otu00076,0.336646786,Hypotrachyna
Rhizobiales_uncl_Otu00076,0.070466092,Peltigera
Rhizobiales_uncl_Otu00076,0.060525734,Stereocaulon
Rhizobiales_uncl_Otu00076,0.284515131,Sticta
Rhizobiales_uncl_Otu00076,0.012812017,Usnea
Acidocella_uncl_Otu00077,0.109892384,Cladonia
Acidocella_uncl_Otu00077,0.009933775,Cora
Acidocella_uncl_Otu00077,0.618584437,Hypotrachyna
Acidocella_uncl_Otu00077,0.000413907,Peltigera
Acidocella_uncl_Otu00077,0.180256623,Stereocaulon
Acidocella_uncl_Otu00077,0.074710265,Sticta
Acidocella_uncl_Otu00077,0.006208609,Usnea
Terriglobus_uncl_99__Otu00078,0.003721425,Cladonia
Terriglobus_uncl_99__Otu00078,0.070175439,Cora
Terriglobus_uncl_99__Otu00078,0.275385433,Hypotrachyna
Terriglobus_uncl_99__Otu00078,0.023923445,Peltigera
Terriglobus_uncl_99__Otu00078,0.006911217,Stereocaulon
Terriglobus_uncl_99__Otu00078,0.362041467,Sticta
Terriglobus_uncl_99__Otu00078,0.257841574,Usnea
Chthoniobacteraceae__uncl_52__Otu00080,0.007070397,Cladonia
Chthoniobacteraceae__uncl_52__Otu00080,0.104826314,Cora
Chthoniobacteraceae__uncl_52__Otu00080,0.17122656,Hypotrachyna
Chthoniobacteraceae__uncl_52__Otu00080,0.021826007,Peltigera
Chthoniobacteraceae__uncl_52__Otu00080,0.018137104,Stereocaulon
Chthoniobacteraceae__uncl_52__Otu00080,0.663080234,Sticta
Chthoniobacteraceae__uncl_52__Otu00080,0.013833385,Usnea
Caulobacteraceae_uncl_Otu00081,0.035703747,Cladonia
Caulobacteraceae_uncl_Otu00081,0.307170257,Cora
Caulobacteraceae_uncl_Otu00081,0.210386545,Hypotrachyna
Caulobacteraceae_uncl_Otu00081,0.091472411,Peltigera
Caulobacteraceae_uncl_Otu00081,0.040424904,Stereocaulon
Caulobacteraceae_uncl_Otu00081,0.311301269,Sticta
Caulobacteraceae_uncl_Otu00081,0.003540868,Usnea
Acidobacteriaceae_uncl_Otu00085,0.948362419,Cladonia
Acidobacteriaceae_uncl_Otu00085,0.000239063,Cora
Acidobacteriaceae_uncl_Otu00085,0.045661009,Hypotrachyna
Acidobacteriaceae_uncl_Otu00085,0,Peltigera
Acidobacteriaceae_uncl_Otu00085,0.004064069,Stereocaulon
Acidobacteriaceae_uncl_Otu00085,0.001195314,Sticta
Acidobacteriaceae_uncl_Otu00085,0.000478126,Usnea
Mucilaginibacter_uncl_52__Otu00087,0.037874803,Cladonia
Mucilaginibacter_uncl_52__Otu00087,0.03445555,Cora
Mucilaginibacter_uncl_52__Otu00087,0.258811152,Hypotrachyna
Mucilaginibacter_uncl_52__Otu00087,0.02919516,Peltigera
Mucilaginibacter_uncl_52__Otu00087,0.430825881,Stereocaulon
Mucilaginibacter_uncl_52__Otu00087,0.158337717,Sticta
Mucilaginibacter_uncl_52__Otu00087,0.050499737,Usnea
Brevundimonas_uncl_80__Otu00088,0.032314629,Cladonia
Brevundimonas_uncl_80__Otu00088,0.611723447,Cora
Brevundimonas_uncl_80__Otu00088,0.021543086,Hypotrachyna
Brevundimonas_uncl_80__Otu00088,0.037825651,Peltigera
Brevundimonas_uncl_80__Otu00088,0.110470942,Stereocaulon
Brevundimonas_uncl_80__Otu00088,0.180861723,Sticta
